Seq,DateListed,年度,區域,縣市別代碼,採集數
1,"20220722","108","宜蘭縣","10002","14"
2,"20220722","108","花蓮縣","10015","43"
3,"20220722","108","金門縣","09020","0"
4,"20220722","108","南投縣","10008","3"
5,"20220722","108","屏東縣","10013","6"
6,"20220722","108","苗栗縣","10005","0"
7,"20220722","108","桃園市","68000","3"
8,"20220722","108","高雄市","64000","20"
9,"20220722","108","基隆市","10017","0"
10,"20220722","108","新北市","65000","29"
11,"20220722","108","新竹市","10018","0"
12,"20220722","108","新竹縣","10004","24"
13,"20220722","108","嘉義縣","10020","5"
14,"20220722","108","彰化縣","10007","5"
15,"20220722","108","臺中市","66000","13"
16,"20220722","108","臺北市","63000","6"
17,"20220722","108","臺東縣","10014","55"
18,"20220722","108","臺南市","67000","0"
19,"20220722","109","宜蘭縣","10002","23"
20,"20220722","109","花蓮縣","10015","105"
21,"20220722","109","金門縣","09020","3"
22,"20220722","109","南投縣","10008","23"
23,"20220722","109","屏東縣","10013","54"
24,"20220722","109","苗栗縣","10005","13"
25,"20220722","109","桃園市","68000","41"
26,"20220722","109","高雄市","64000","79"
27,"20220722","109","基隆市","10017","8"
28,"20220722","109","新北市","65000","60"
29,"20220722","109","新竹市","10018","0"
30,"20220722","109","新竹縣","10004","21"
31,"20220722","109","嘉義縣","10020","4"
32,"20220722","109","彰化縣","10007","6"
33,"20220722","109","臺中市","66000","33"
34,"20220722","109","臺北市","63000","11"
35,"20220722","109","臺東縣","10014","107"
36,"20220722","109","臺南市","67000","7"
37,"20220722","110","宜蘭縣","10002","20"
38,"20220722","110","花蓮縣","10015","71"
39,"20220722","110","金門縣","09020","3"
40,"20220722","110","南投縣","10008","40"
41,"20220722","110","屏東縣","10013","61"
42,"20220722","110","苗栗縣","10005","10"
43,"20220722","110","桃園市","68000","34"
44,"20220722","110","高雄市","64000","45"
45,"20220722","110","基隆市","10017","1"
46,"20220722","110","新北市","65000","69"
47,"20220722","110","新竹市","10018","3"
48,"20220722","110","新竹縣","10004","19"
49,"20220722","110","嘉義縣","10020","4"
50,"20220722","110","彰化縣","10007","4"
51,"20220722","110","臺中市","66000","22"
52,"20220722","110","臺北市","63000","13"
53,"20220722","110","臺東縣","10014","87"
54,"20220722","110","臺南市","67000","1"
55,"20230829","111","宜蘭縣","10002","14"
56,"20230829","111","花蓮縣","10015","55"
57,"20230829","111","金門縣","9020","2"
58,"20230829","111","南投縣","10008","27"
59,"20230829","111","屏東縣","10013","45"
60,"20230829","111","苗栗縣","10005","15"
61,"20230829","111","桃園市","68000","20"
62,"20230829","111","高雄市","64000","34"
63,"20230829","111","基隆市","10017","1"
64,"20230829","111","新北市","65000","72"
65,"20230829","111","新竹市","10018",""
66,"20230829","111","新竹縣","10004","22"
67,"20230829","111","嘉義縣","10020","4"
68,"20230829","111","彰化縣","10007",""
69,"20230829","111","臺中市","66000","20"
70,"20230829","111","臺北市","63000","10"
71,"20230829","111","臺東縣","10014","69"
72,"20230829","111","臺南市","67000",""
