地區,2019年(熱點數量),2020年(熱點數量),2021年(熱點數量),2022年(熱點數量),2023年(熱點數量)
臺閩地區,9709,9705,9775,9843,11293
臺灣地區,9445,9478,9550,9636,11087
北部區域,3356,3273,3286,3340,3454
臺北市,916,863,865,906,979
新北市,625,584,586,597,618
基隆市,149,148,148,143,143
新竹市,260,230,230,230,244
桃園市,706,715,723,727,734
新竹縣,172,196,196,198,199
宜蘭縣,528,537,538,539,537
中部區域,3076,3067,3107,3135,3645
臺中市,1718,1682,1714,1722,2028
苗栗縣,211,222,226,225,239
彰化縣,796,789,789,789,789
南投縣,219,246,251,274,370
雲林縣,132,128,127,125,219
南部區域,2161,2201,2219,2223,2993
高雄市,822,834,846,848,1091
臺南市,371,345,350,350,488
嘉義市,238,236,235,235,266
嘉義縣,308,314,314,313,419
屏東縣,264,313,314,316,519
澎湖縣,158,159,160,161,210
東部區域,852,937,938,938,995
花蓮縣,697,751,751,751,754
臺東縣,155,186,187,187,241
福建省,264,227,225,207,206
金門縣,152,115,115,97,96
連江縣,112,112,110,110,110
